iter	Passed	Remaining
0	148	148272
1	153	76733
2	159	52914
3	165	41178
4	170	33948
5	177	29333
6	182	25894
7	186	23176
8	190	21000
9	192	19095
10	195	17545
11	197	16249
12	199	15152
13	201	14207
14	203	13341
15	204	12580
16	205	11908
17	207	11305
18	208	10763
19	209	10285
20	211	9864
21	212	9456
22	213	9079
23	214	8734
24	215	8417
25	216	8126
26	217	7852
27	218	7598
28	219	7359
29	220	7142
30	222	6946
31	223	6763
32	224	6586
33	226	6433
34	227	6272
35	228	6117
36	229	5970
37	230	5831
38	231	5699
39	232	5573
40	233	5454
41	234	5346
42	235	5248
43	237	5149
44	238	5051
45	238	4956
46	239	4864
47	240	4776
48	241	4693
49	242	4611
50	243	4534
51	244	4458
52	245	4386
53	246	4322
54	248	4261
55	249	4200
56	250	4139
57	251	4079
58	252	4021
59	253	3964
60	253	3909
61	254	3856
62	255	3804
63	256	3755
64	257	3708
65	258	3662
66	260	3623
67	261	3583
68	262	3542
69	263	3500
70	264	3459
71	265	3419
72	266	3381
73	267	3343
74	268	3307
75	269	3272
76	270	3238
77	271	3205
78	272	3179
79	273	3150
80	275	3121
81	276	3091
82	276	3056
83	277	3026
84	278	2998
85	279	2970
86	280	2943
87	281	2915
88	282	2889
89	283	2863
90	284	2839
91	285	2820
92	287	2799
93	287	2775
94	288	2751
95	289	2728
96	290	2705
97	291	2683
98	292	2662
99	293	2641
100	294	2620
101	295	2601
102	296	2582
103	297	2567
104	299	2551
105	300	2534
106	301	2516
107	302	2498
108	303	2479
109	304	2462
110	305	2445
111	306	2428
112	307	2411
113	308	2395
114	309	2382
115	311	2370
116	312	2355
117	313	2340
118	314	2325
119	315	2310
120	316	2295
121	316	2280
122	317	2266
123	318	2252
124	319	2238
125	320	2225
126	321	2212
127	323	2202
128	324	2190
129	325	2178
130	326	2165
131	327	2152
132	328	2140
133	329	2127
134	330	2115
135	331	2102
136	331	2090
137	332	2079
138	334	2069
139	335	2060
140	336	2051
141	337	2039
142	338	2028
143	339	2017
144	340	2006
145	341	1996
146	342	1985
147	343	1974
148	343	1964
149	345	1956
150	346	1947
151	347	1939
152	348	1931
153	350	1923
154	351	1913
155	351	1904
156	352	1894
157	353	1885
158	354	1876
159	355	1866
160	356	1856
161	357	1847
162	358	1839
163	359	1831
164	360	1826
165	362	1819
166	363	1811
167	364	1802
168	365	1794
169	365	1786
170	366	1778
171	367	1770
172	368	1763
173	369	1755
174	370	1747
175	371	1740
176	372	1734
177	374	1729
178	375	1722
179	376	1715
180	377	1708
181	378	1700
182	379	1693
183	380	1686
184	381	1679
185	382	1672
186	383	1665
187	384	1658
188	385	1653
189	386	1648
190	387	1642
191	388	1636
192	389	1629
193	390	1622
194	391	1616
195	392	1609
196	393	1604
197	394	1598
198	395	1592
199	396	1585
200	397	1580
201	399	1576
202	400	1571
203	401	1565
204	402	1559
205	403	1553
206	403	1547
207	404	1541
208	405	1536
209	406	1530
210	407	1524
211	408	1519
212	409	1514
213	411	1511
214	412	1506
215	413	1500
216	414	1495
217	415	1489
218	416	1484
219	417	1479
220	418	1473
221	418	1468
222	419	1463
223	420	1458
224	421	1453
225	423	1449
226	424	1445
227	425	1441
228	426	1436
229	427	1430
230	428	1426
231	429	1421
232	430	1416
233	431	1411
234	432	1406
235	433	1401
236	434	1397
237	435	1392
238	436	1389
239	438	1387
240	439	1383
241	440	1378
242	441	1374
243	442	1370
244	443	1365
245	444	1361
246	444	1356
247	445	1351
248	446	1347
249	447	1343
250	449	1340
251	450	1337
252	451	1332
253	452	1328
254	453	1324
255	454	1320
256	455	1316
257	456	1312
258	457	1308
259	458	1304
