iter	Passed	Remaining
0	150	149947
1	151	75591
2	152	50822
3	154	38405
4	155	30977
5	156	25996
6	158	22442
7	159	19769
8	160	17693
9	161	16032
10	163	14665
11	164	13532
12	165	12592
13	167	11778
14	168	11063
15	169	10444
16	171	9888
17	172	9392
18	173	8954
19	174	8560
20	175	8202
21	177	7875
22	178	7582
23	180	7320
24	181	7069
25	182	6838
26	183	6623
27	185	6424
28	186	6239
29	187	6067
30	188	5905
31	190	5750
32	191	5611
33	192	5479
34	194	5357
35	195	5236
36	196	5121
37	197	5011
38	199	4905
39	200	4808
40	201	4716
41	202	4626
42	204	4541
43	205	4460
44	206	4382
45	207	4311
46	209	4246
47	210	4178
48	212	4116
49	213	4053
50	214	3994
51	215	3934
52	217	3878
53	218	3824
54	219	3772
55	221	3725
56	222	3680
57	223	3634
58	225	3589
59	226	3545
60	227	3502
61	228	3462
62	230	3420
63	231	3381
64	232	3343
65	233	3308
66	235	3274
67	236	3243
68	237	3210
69	239	3179
70	240	3146
71	241	3115
72	243	3089
73	244	3061
74	245	3031
75	247	3003
76	248	2976
77	249	2954
78	251	2931
79	252	2908
80	254	2887
81	255	2863
82	256	2833
83	257	2810
84	258	2786
85	260	2765
86	261	2743
87	262	2723
88	264	2704
89	266	2694
90	267	2676
91	269	2657
92	270	2639
93	271	2620
94	273	2601
95	274	2582
96	275	2564
97	276	2545
98	277	2528
99	279	2512
100	280	2498
101	282	2483
102	283	2468
103	284	2452
104	285	2437
105	287	2422
106	288	2407
107	289	2392
108	290	2377
109	292	2363
110	293	2349
111	294	2338
112	296	2325
113	297	2312
114	299	2301
115	300	2288
116	301	2273
117	302	2262
118	303	2249
119	305	2237
120	306	2226
121	307	2213
122	309	2205
123	310	2193
124	311	2183
125	313	2172
126	314	2160
127	315	2148
128	316	2138
129	318	2128
130	319	2118
131	320	2107
132	321	2098
133	323	2089
134	324	2080
135	326	2072
136	327	2063
137	328	2053
138	330	2044
139	331	2035
140	332	2027
141	333	2015
142	334	2007
143	336	1998
144	337	1991
145	339	1983
146	340	1976
147	341	1968
148	343	1960
149	344	1952
150	345	1945
151	347	1937
152	348	1930
153	350	1924
154	352	1920
155	354	1918
156	355	1910
157	357	1904
158	358	1897
159	360	1890
160	360	1881
161	362	1874
162	363	1867
163	364	1860
164	366	1853
165	368	1849
166	369	1841
167	370	1836
168	372	1829
169	373	1822
170	374	1815
171	375	1808
172	376	1802
173	378	1795
174	379	1789
175	380	1782
176	382	1776
177	383	1771
178	385	1766
179	386	1761
180	387	1755
181	389	1749
182	390	1743
183	391	1737
184	393	1731
185	394	1724
186	395	1719
187	397	1715
188	398	1710
189	399	1704
190	401	1699
191	402	1693
192	403	1688
193	405	1683
194	406	1677
195	407	1672
196	408	1666
197	410	1661
198	411	1658
199	413	1653
200	414	1648
201	415	1643
202	417	1638
203	418	1633
204	420	1628
205	421	1623
206	422	1618
207	423	1613
208	425	1609
209	426	1605
210	428	1601
211	429	1597
212	431	1592
213	432	1588
214	433	1583
215	435	1579
216	436	1574
217	437	1569
218	438	1564
219	440	1561
220	442	1558
221	443	1553
222	445	1550
223	446	1547
224	448	1543
225	449	1539
226	450	1535
227	452	1531
228	453	1527
229	455	1523
230	456	1519
231	458	1516
232	459	1512
233	461	1509
234	462	1505
235	463	1501
236	465	1497
237	466	1493
238	467	1488
239	468	1485
240	470	1481
241	471	1478
242	473	1474
243	474	1471
244	476	1467
245	477	1463
246	478	1459
247	480	1455
248	481	1451
249	482	1447
250	484	1444
251	485	1441
252	487	1439
253	488	1435
254	490	1432
255	491	1428
256	492	1425
257	495	1424
258	496	1421
259	498	1418
260	499	1414
261	501	1411
262	502	1408
263	504	1405
264	505	1402
265	506	1398
266	508	1394
267	509	1391
268	510	1387
269	512	1384
270	513	1381
271	515	1378
272	516	1375
273	517	1372
274	519	1369
275	520	1366
276	522	1362
277	523	1359
278	524	1356
279	526	1352
280	527	1349
281	529	1347
282	530	1344
283	531	1341
284	533	1338
285	534	1335
286	536	1332
287	537	1328
288	538	1325
289	540	1322
290	541	1319
291	543	1318
292	545	1316
293	547	1313
294	548	1310
295	549	1307
296	551	1304
297	552	1301
298	553	1298
299	555	1295
300	556	1292
301	558	1289
302	559	1287
303	561	1284
304	562	1282
305	564	1279
306	565	1276
307	566	1273
308	568	1270
309	569	1267
310	570	1264
311	572	1263
312	574	1260
313	575	1258
314	577	1255
315	578	1252
316	580	1250
317	581	1247
318	583	1244
319	584	1242
320	585	1239
321	587	1237
322	589	1234
323	590	1232
324	592	1229
325	593	1227
326	595	1224
327	596	1222
328	597	1219
329	599	1216
330	600	1213
331	602	1211
332	603	1209
333	605	1207
334	606	1204
335	608	1202
336	609	1199
337	610	1196
338	612	1193
339	613	1191
340	614	1188
341	616	1186
342	618	1183
343	619	1181
344	621	1179
345	622	1176
346	624	1174
347	625	1171
348	626	1169
349	628	1166
350	629	1163
351	631	1162
352	632	1159
353	634	1156
354	635	1154
355	636	1151
356	638	1149
357	639	1146
358	640	1144
359	642	1141
360	643	1139
361	645	1137
362	647	1136
363	648	1133
364	650	1132
365	652	1129
366	653	1127
367	654	1124
368	656	1122
369	657	1119
370	658	1117
371	660	1115
372	662	1112
373	663	1110
374	664	1108
375	666	1105
376	667	1103
377	668	1100
378	670	1098
379	671	1095
380	672	1093
381	674	1090
382	675	1088
383	677	1086
384	678	1084
385	680	1081
386	681	1079
387	682	1076
388	683	1074
389	685	1072
390	686	1069
391	688	1067
392	689	1065
393	691	1063
394	693	1061
395	694	1059
396	696	1057
397	697	1055
398	699	1053
399	700	1050
400	701	1048
401	703	1045
402	704	1043
403	706	1041
404	707	1039
405	709	1037
406	710	1035
407	711	1032
408	713	1030
409	714	1028
410	715	1025
411	717	1023
412	718	1021
413	720	1019
414	721	1017
415	723	1015
416	724	1012
417	725	1010
418	727	1008
419	728	1005
420	729	1003
421	730	1000
422	731	998
423	733	996
424	735	994
425	736	992
426	737	990
427	739	988
428	741	986
429	742	984
430	743	982
431	745	979
432	746	977
433	747	975
434	749	973
435	750	971
436	752	969
437	753	966
438	755	964
439	756	962
440	757	960
441	759	958
442	760	956
443	761	954
444	763	952
445	765	950
446	766	948
447	768	946
448	769	944
449	770	942
450	772	939
451	773	937
452	774	935
453	775	933
454	777	931
455	779	929
456	781	928
457	782	926
458	784	924
459	785	922
460	787	920
461	788	918
462	790	916
463	791	914
464	793	912
465	794	910
466	795	908
467	797	906
468	798	904
469	800	902
470	801	900
471	802	898
472	804	896
473	806	894
474	807	892
475	808	890
476	810	888
477	811	886
478	813	884
479	814	882
480	816	880
481	817	878
482	818	876
483	820	874
484	821	872
485	823	870
